product_name,expected_filename
"Zerotox",images/zerotox.jpg
"Hitox",images/hitox.jpg
"Hutox",images/hutox.jpg
"Bijutox",images/bijutox.jpg
"Botulax",images/botulax.jpg
"Meditox",images/meditox.jpg
"Innotox",images/innotox.jpg
"Coretox",images/coretox.jpg
"Liztox",images/liztox.jpg
"Rentox",images/rentox.jpg
"Nabota",images/nabota.jpg
"Wondertox",images/wondertox.jpg
"Toxta",images/toxta.jpg
"Kaimax",images/kaimax.jpg
"Metox",images/metox.jpg
"Newlux",images/newlux.jpg
"Xeomin",images/xeomin.jpg
"UNIONFILL",images/unionfill.jpg
"BONETTA",images/bonetta.jpg
"Aribell",images/aribell.jpg
"Bellast Ultra L/Soft L/Plus",images/bellast-ultra-l-soft-l-plus.jpg
"Celosome",images/celosome.jpg
"Chaeum premium",images/chaeum-premium.jpg
"Dermalax Implant Plus",images/dermalax-implant-plus.jpg
"Dermalax Deep Plus/Plus",images/dermalax-deep-plus-plus.jpg
"Dr Fill",images/dr-fill.jpg
"Elasty D/F/G Plus",images/elasty-d-f-g-plus.jpg
"Elasty D/F/G Plus (lidocaine/non lidocaine)",images/elasty-d-f-g-plus-lidocaine-non-lidocaine.jpg
"Elravie Light",images/elravie-light.jpg
"Elravie Deep",images/elravie-deep.jpg
"Elravie Ultra Volume",images/elravie-ultra-volume.jpg
"EPTQ",images/eptq.jpg
"Juvederm",images/juvederm.jpg
"Lip Star",images/lip-star.jpg
"Luxfill",images/luxfill.jpg
"MissFill",images/missfill.jpg
"Neuramis Deep/Light/volume (Lidocaine/Non Lidocaine)",images/neuramis-deep-light-volume-lidocaine-non-lidocaine.jpg
"Priere Lip",images/priere-lip.jpg
"Regenovue",images/regenovue.jpg
"Rejeunesse",images/rejeunesse.jpg
"Replengen",images/replengen.jpg
"Revolax Fibe/Deep/Sub-Q",images/revolax-fibe-deep-sub-q.jpg
"Soon Soo Fill",images/soon-soo-fill.jpg
"Sosum H/M/S",images/sosum-h-m-s.jpg
"Sosum Hard",images/sosum-hard.jpg
"Tesoro",images/tesoro.jpg
"Voluderm",images/voluderm.jpg
"VOM",images/vom.jpg
"Youthfill",images/youthfill.jpg
"Yvoire",images/yvoire.jpg
"BONETTA Body",images/bonetta-body.jpg
"Maxyfill",images/maxyfill.jpg
"Sedyfill",images/sedyfill.jpg
"Glam Appeal",images/glam-appeal.jpg
"The Hada",images/the-hada.jpg
"DeneB Classic-H",images/deneb-classic-h.jpg
"DeneB Classic-S",images/deneb-classic-s.jpg
"Beads Max Classic H",images/beads-max-classic-h.jpg
"Beads Max Classic S",images/beads-max-classic-s.jpg
"Momm Body",images/momm-body.jpg
"Kamomis",images/kamomis.jpg
"Kiara Reju PDRN",images/kiara-reju-pdrn.jpg
"JUVE FACE",images/juve-face.jpg
"JUVE EYES",images/juve-eyes.jpg
"AMI EYES",images/ami-eyes.jpg
"ELAXEN PN",images/elaxen-pn.jpg
"LUMEEZY PDRN",images/lumeezy-pdrn.jpg
"REJURAN HEALER",images/rejuran-healer.jpg
"REJURAN HB",images/rejuran-hb.jpg
"REJURAN I",images/rejuran-i.jpg
"REJURAN S",images/rejuran-s.jpg
"Lapuroon Aurora Vivid",images/lapuroon-aurora-vivid.jpg
"Lapuroon Aurora Super",images/lapuroon-aurora-super.jpg
"ILLUMA PN",images/illuma-pn.jpg
"ILLUMA PN Pro",images/illuma-pn-pro.jpg
"ILLUMA Luna",images/illuma-luna.jpg
"ASCE SRLV",images/asce-srlv.jpg
"ASCE HRLV",images/asce-hrlv.jpg
"EXOXE",images/exoxe.jpg
"EXOHEALER P198 SB",images/exohealer-p198-sb.jpg
"EXOHEALER P198 SB PLUS",images/exohealer-p198-sb-plus.jpg
"EXOHEALER P198 HB PLUS",images/exohealer-p198-hb-plus.jpg
"EXOHEALER ACTIVATING SOLUTION",images/exohealer-activating-solution.jpg
"BOTANIC EXO",images/botanic-exo.jpg
"Hyaron",images/hyaron.jpg
"CELOSOME AQUA",images/celosome-aqua.jpg
"REGENOVUE AQUA",images/regenovue-aqua.jpg
"ULTRA HILO",images/ultra-hilo.jpg
"ILLUMA Hydro Booster",images/illuma-hydro-booster.jpg
"Hyalock",images/hyalock.jpg
"Hyalace",images/hyalace.jpg
"THERAFILL",images/therafill.jpg
"TESORO COLLAGEN",images/tesoro-collagen.jpg
"MIRACLE TOUCH BR",images/miracle-touch-br.jpg
"MIRACLE TOUCH UP",images/miracle-touch-up.jpg
"MIRACLE H",images/miracle-h.jpg
"MIRACLE L",images/miracle-l.jpg
"MIRACLE X",images/miracle-x.jpg
"CINDELLA HEALER",images/cindella-healer.jpg
"NAD +",images/nad.jpg
"Ami NAD+",images/ami-nad.jpg
"ILLUMA NAD+",images/illuma-nad.jpg
"ILLUMA Crystal Rose",images/illuma-crystal-rose.jpg
"Han Heal NAD+",images/han-heal-nad.jpg
"Olidia",images/olidia.jpg
"Aesthefill",images/aesthefill.jpg
"Power COL-TRA",images/power-col-tra.jpg
"Juvelook",images/juvelook.jpg
"Etrebelle",images/etrebelle.jpg
"Volassom",images/volassom.jpg
"Gouri",images/gouri.jpg
"Sosum PCL",images/sosum-pcl.jpg
"ILLUMA 200",images/illuma-200.jpg
"ILLUMA 500",images/illuma-500.jpg
"Kabelline",images/kabelline.jpg
"LIPO LAB PPC Solution (+GMS)",images/lipo-lab-ppc-solution-gms.jpg
"LIPO LAB V line",images/lipo-lab-v-line.jpg
"Dr Lipo",images/dr-lipo.jpg
"Dr Lipo V",images/dr-lipo-v.jpg
"Dr Lipo PRIME",images/dr-lipo-prime.jpg
"LIPO Vela",images/lipo-vela.jpg
"LIPO Vela-V",images/lipo-vela-v.jpg
"The Red",images/the-red.jpg
"Super V line Sol",images/super-v-line-sol.jpg
"Slim Point Face",images/slim-point-face.jpg
"Slim Point Body",images/slim-point-body.jpg
"Pine Bottle",images/pine-bottle.jpg
"J-cain Cream",images/j-cain-cream.jpg
"SM Lido Cream",images/sm-lido-cream.jpg
"Muchcaine Cream",images/muchcaine-cream.jpg
"Muchcaine PLUS Cream",images/muchcaine-plus-cream.jpg
"LIPORASE",images/liporase.jpg
"Cindella inj.",images/cindella-inj.jpg
"Luthione inj",images/luthione-inj.jpg
"Vitamin C",images/vitamin-c.jpg
"Laennec",images/laennec.jpg
"Melsmon inj",images/melsmon-inj.jpg
"Placein M",images/placein-m.jpg
"VITA-D 300.000U (1.5ml/am)",images/vita-d-300-000u-1-5ml-am.jpg
"VITA-D 200.000U (1ml/am)",images/vita-d-200-000u-1ml-am.jpg
"DAI HAN NORMAL SALINE",images/dai-han-normal-saline.jpg
"DAI HAN LIDOCAINE 2%",images/dai-han-lidocaine-2.jpg
"HUONS EPINEPHRINE",images/huons-epinephrine.jpg
"Ginkobal inj.",images/ginkobal-inj.jpg
